nteammrpd_s	459.28	-977.28	21.60	0.0	limbo
xm3_prop_xm3_glass_door_02a	467.50	-967.60	42.40	0.0	-
xm3_prop_xm3_glass_door_02a	466.85	-986.45	42.40	0.0	-
xm3_prop_xm3_glass_door_02a	464.85	-986.45	42.40	-180.0	-
xm3_prop_xm3_glass_door_02a	466.85	-986.45	38.40	0.0	-
xm3_prop_xm3_glass_door_02a	464.85	-986.45	38.40	-180.0	-
xm3_prop_xm3_glass_door_02a	466.86	-986.45	34.40	0.0	-
xm3_prop_xm3_glass_door_02a	464.85	-986.45	34.40	-180.0	-
xm3_prop_xm3_glass_door_02a	466.85	-986.46	30.40	0.0	-
xm3_prop_xm3_glass_door_02a	464.86	-986.46	30.40	-180.0	-
xm3_prop_xm3_glass_door_02a	467.53	-959.71	30.40	0.0	-
xm3_prop_xm3_glass_door_02a	467.53	-951.86	30.40	0.0	-
2408028103	456.48	-981.74	30.40	0.0	-
1047203046	447.89	-981.70	30.40	0.0	-
1047203046	469.29	-942.07	30.40	90.0	-
wmainhallentrance1	449.72	-958.07	29.25	0.0	-
xm3_prop_xm3_glass_door_02a	449.77	-954.87	30.41	90.0	-
xm3_prop_xm3_glass_door_02a	449.77	-956.86	30.41	-90.0	-
wmainhallentrance2	449.65	-961.63	29.59	0.0	-
wmainhallentrance2	449.67	-952.13	29.59	0.0	-
wmainhallentrance3	449.65	-950.32	33.13	0.0	-
wmainhallentrance4	449.99	-964.77	29.46	0.0	-
wmainhallentrance4	450.07	-945.90	29.46	0.0	-
wmainhallrightpul	462.65	-971.55	29.19	0.0	mainhall
xm3_prop_xm3_glass_door_02a	463.65	-971.41	30.40	0.0	mainhall
1047203046	450.34	-968.79	34.40	-90.0	floor
1047203046	450.34	-969.27	34.40	90.0	floor
nteammainhalldesk	464.38	-952.19	29.22	0.0	mainhall
nteammrpdflag	468.76	-953.55	30.37	0.0	mainhall
3297809923	465.90	-953.62	29.83	-50.0	mainhall
3297809923	466.23	-956.97	29.85	-90.0	mainhall
nteammainhallstairs	464.51	-955.39	32.44	0.0	mainhall
nteammainhallpillars	450.58	-953.09	29.32	0.0	mainhall
wmainhallsmall1	464.64	-969.25	29.35	0.0	-
wmainhallsmall1	464.61	-967.62	29.35	0.0	-
wmainhallsmall1	464.61	-941.67	29.35	0.0	-
wmainhallsmall1	464.61	-943.30	29.35	0.0	-
xm3_prop_xm3_glass_door_02a	464.80	-960.19	30.40	90.0	-
xm3_prop_xm3_glass_door_02a	464.80	-962.18	30.40	-90.0	-
xm3_prop_xm3_glass_door_02a	464.80	-951.37	30.40	-90.0	-
xm3_prop_xm3_glass_door_02a	464.80	-949.38	30.40	90.0	-
wmainhallconf	456.40	-939.55	29.27	0.0	-
xm3_prop_xm3_glass_door_02a	461.38	-940.18	30.40	0.0	-
xm3_prop_xm3_glass_door_02a	459.38	-940.18	30.40	-180.0	-
wconfe1	456.10	-927.83	29.35	0.0	-
wconfe2	464.71	-939.22	29.35	0.0	-
xm3_prop_xm3_glass_door_02a	464.63	-934.49	30.40	90.0	-
xm3_prop_xm3_glass_door_02a	464.63	-936.49	30.40	-90.0	-
wleftentrancenteam	465.13	-928.60	29.25	0.0	-
xm3_prop_xm3_glass_door_02a	467.95	-928.64	30.40	0.0	-
xm3_prop_xm3_glass_door_02a	465.95	-928.64	30.40	180.0	-
wpressnteam1	479.90	-928.42	29.25	0.0	-
wpressnteam2	469.34	-939.80	29.25	0.0	-
xm3_prop_xm3_glass_door_02a	469.29	-936.49	30.40	-90.0	-
xm3_prop_xm3_glass_door_02a	469.29	-934.49	30.40	90.0	-
wrightwingnteam1	458.16	-986.56	30.33	0.0	-
wrightwingnteam2	445.05	-986.52	30.33	0.0	-
wfloorrightleftnteam	464.40	-940.49	33.25	0.0	-
wfloorrightleftnteam	464.44	-971.10	33.25	0.0	-
xm3_prop_xm3_glass_door_02a	461.42	-971.16	34.40	0.0	-
xm3_prop_xm3_glass_door_02a	454.17	-971.16	34.40	0.0	-
xm3_prop_xm3_glass_door_02a	452.17	-971.16	34.40	180.0	-
xm3_prop_xm3_glass_door_02a	459.42	-971.16	34.40	180.0	-
xm3_prop_xm3_glass_door_02a	461.38	-940.54	34.40	0.0	-
xm3_prop_xm3_glass_door_02a	454.12	-940.54	34.40	0.0	-
xm3_prop_xm3_glass_door_02a	452.13	-940.54	34.40	180.0	-
xm3_prop_xm3_glass_door_02a	459.38	-940.54	34.40	180.0	-
wfloorseperatenteam	456.02	-934.43	33.17	0.0	officeleft
wfloorseperatenteam	456.01	-971.42	33.17	0.0	officeright
1047203046	467.94	-936.83	34.40	0.0	floor
1047203046	465.35	-936.83	34.40	180.0	floor
1047203046	467.94	-974.99	34.40	0.0	-
1047203046	465.35	-974.99	34.40	-180.0	-
1047203046	461.53	-982.30	34.40	0.0	righthalloor
1047203046	453.22	-982.30	34.40	180.0	righthalloor
1047203046	450.38	-985.11	34.40	-90.0	-
wcaptainfrontnteam	469.95	-928.81	33.25	0.0	-
wcaptainmrightnteam	470.06	-934.12	33.25	0.0	-
wcaptainmleftnteam	463.33	-934.12	33.25	0.0	-
xm3_prop_xm3_glass_door_02a	463.28	-932.76	34.40	-90.0	-
xm3_prop_xm3_glass_door_02a	470.01	-932.75	34.40	-90.0	-
wopenofficenteam	478.02	-967.40	31.38	0.0	-
wrightetrancenteam	453.71	-986.50	29.17	0.0	-
xm3_prop_xm3_glass_door_02a	454.79	-986.55	30.40	180.0	-
xm3_prop_xm3_glass_door_02a	456.79	-986.55	30.40	0.0	-
wrighthallnteam	451.61	-986.18	34.19	0.0	-
wrestnteam	445.05	-986.17	34.19	0.0	-
wcaptainl2nteam	449.79	-921.73	33.25	0.0	-
wcaptainl1nteam	449.69	-921.63	33.25	0.0	-
wcaptainr2nteam	483.04	-921.74	33.25	0.0	-
wcaptainr1nteam	483.04	-921.74	33.25	0.0	-
1047203046	463.33	-979.43	38.40	-90.0	2ndunithall
1047203046	469.28	-959.72	38.40	90.0	2ndunithall
xm3_prop_xm3_glass_door_02a	467.99	-968.01	38.40	0.0	2ndunithall
xm3_prop_xm3_glass_door_02a	465.99	-968.01	38.40	-180.0	2ndunithall
xm3_prop_xm3_glass_door_02a	467.99	-946.31	38.40	0.0	-
xm3_prop_xm3_glass_door_02a	465.99	-946.31	38.40	180.0	-
w2ndhallnteam	463.27	-949.12	37.75	0.0	-
w2ndhallnteam	463.27	-949.12	37.35	0.0	-
w2ndleftnteam	454.78	-945.21	37.74	0.0	-
w2ndleftnteam1	456.01	-925.99	37.74	0.0	-
w2ndrightnteam	477.82	-925.98	37.82	0.0	-
w2ndrightnteam1	479.35	-941.69	37.74	0.0	-
w2ndofficenteaml	460.84	-934.03	37.25	0.0	-
w2ndofficenteamfront	460.84	-933.90	37.25	0.0	-
w2ndofficenteamr	473.14	-934.03	37.25	0.0	-
xm3_prop_xm3_glass_door_02a	467.94	-933.99	38.40	0.0	-
xm3_prop_xm3_glass_door_02a	465.94	-933.99	38.40	180.0	-
w2ndcaptainnteam	460.95	-925.99	37.74	0.0	-
wcaffeterianteamleft	462.06	-986.08	42.00	0.0	-
wcaffeterianteamfront	442.69	-969.88	41.97	0.0	-
wcaffeterianteamright1	465.67	-967.58	42.01	0.0	-
wcaffeterianteamright2	471.83	-967.58	42.01	0.0	-
2408028103	465.24	-986.48	46.40	-180.0	-
wgaragenteamentrance	451.57	-986.93	21.85	0.0	-
